first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
Solveig Sundbø,Abrahamsen,H,,"Styremedlem i stiftelsen Telemarksforsking, valgt på rådsforsamling
juni 2020.
Vervet honoreres med kr.13.000 pr år pluss kr.2.700 pr. møte.
det avholdes 4-5 møter i året.",,,,,,,,,,,,
Elin Rodum,Agdestein,H,,"Høy & Rodum Eiendom AS, styreleder
KomRev Trøndelag IKS, styreleder (lønnet)
HRE Holding AS, styreleder
Dr. Agdestein AS, styremedlem (vara)
Steinkjer Montessoribarnehage, styremedlem
Naboer AB, styremedlem
Steinkjer Montessoriforening, styremedlem",,,,,,"Fyrgt 3, Steinkjer
Kongensgt 38, Steinkjer
Otto Sverdrups vei 50, Steinkjer
Åsveien 57-59, Steinkjer","Høy & Rodum Eiendom AS
HRE Holding AS",,,,,
Karin,Andersen,SV,,Styremedlem i Høgskolestiftelsen i Kongsvinger (møtegodtgjørelse),,,,,,,,"Reise i regi av IAVI til Kenya og Uganda 9 til 14 januar 2017. Reise
og opphold betalt av IAVI. Div dekket privat. antatt verdi 12.000,- .
Avventer korrekt beløp for det har jeg ennå ikke fått fra
organisasjonen.
IAVI- International AIDS Vaccine Initiative
Van Diemenstraat 48
1013 NH Amsterdam, The Netherlands
.","To billetter til Peer Gynt-forestillingen og to overnattinger på hotell
for to personer i forbindelse med oppdrag om å dele ut årets Peer Gynt
i 2010. Betalt av Peer Gynt AS.
2 billetter til Sting-konsert på Hamar august 2017.",,,
Marit,Arnstad,Sp,,,,"Senterpartiet, parlamentarisk leder, lønnet.",,,,,"Aksjer i Gjensidige ASA,
Aksje i AS Nord-Trøndelag
Aksjer i Klassekampen",,,,,
Åsmund,Aukrust,A,,"Fra 2019: medlem av rådet Den norske Helsingforskomite, ulønnet",,,,,,,,,,,,
Une,Bastholm,MDG,,,"Gruppeinstruktør i aerobic (Krønsj), ingen inntekt.",,"Ingen. (Som nasjonal talsperson har jeg rett på lønn fra Miljøpartiet
De Grønne, dersom inntekt, pensjonsrettigheter og forsikring fra
Stortinget skulle falle bort. Jeg mottar ingen slike fordeler i dag.)
Min samboer jobber med politisk påvirkning og myndighetskontakt
som politisk rådgiver for Tax Justice Network Norge. Det kan være
relevant for allmennheten når det gjelder mitt arbeid i finanskomiteen
med saker som skattelegging av internasjonale selskaper og Norges
posisjon til internasjonale skatteregler (eks skatteparadis-
problematikk).",,,,,,,,,
Norunn Tveiten,Benestad,H,,"Nestleder i Sparebanken Pluss, Kristiansand. Lønnet. Avsluttes ved
nyttår 2013/2014.
Styremedlem i Avfall Sør AS, Kristiansand. Lønnet.
Styremedlem i Avfall Sør Husholdning AS, Kristiansand. Lønnet
Rådsmedlem i stiftelsen Cultiva, Kristiansand. Møtegodtgjørelse.
Medlem i Formannskapet i Kristiansand for valgperioden 2011-2015.
Lønnet. Har meldt stående forfall og mottar ikke lønn i
stortingsperioden.
Medlem av Kommunalutvalget i Kristiansand kommune. Lønnet. Har
meldt stående forfall og mottar ikke godtgjørelse i stortingsperioden.
Medlem av Bystyret i Krisansand. Lønnet. Har meldt stående forfall
og mottar ikke godtgjørelse i stortingsperioden.",,,"Har permisjon fra Cappelen Damm, mottar ikke lønn i
stortingsperioden.",,,,,,,,,
Fredric Holen,Bjørdal,A,,,,"Engasjement som miljøterapeut i Bufetat, Sunnmørsheimen
akuttinstitusjon i Volda. Sommarvikar i 2014.",,,,,,,"Hospitering hos Statoil sine ulike lokalitetar i Noreg, 23-26.august
2016. Stortinget betalte reise og opphald, Statoil betalte måltid og
helikoptertur til plattform.",,,
Nils T.,Bjørke,Sp,,"Styremedlem Ausfjelli grunneigarlag og sankelag, (ulønna)
Styremedlem Kveik AS (lønna)",Sjølvstendig næringsdrivande oppdrag i jord og skogbruk,,,,,,,,,,,
Elise,Bjørnebekk-Waagen,A,,"Medlem av Sarpsborg bystyre, møtegodtgjørelse.
Styremedlem Østfold Arbeiderparti, ikke lønnet .
Representantskapet Østfold Handel og Kontor (varamedlem), ikke
lønnet.
Fagskolerådet Østfold, ikke lønnet.
Styre for Fagskolen Østfold, varamedlem, ikke lønnet.
Borg Havn, varamedlem styre, møtegodtgjørelse.",,Fagpolitisk ungdomssekretær LO/Østfold,"Avtale om permisjon fra stilling som faglig ungdomssekretær ved LOs
distriktskontor i Østfold.",,,,,,,,,
Sivert,Bjørnstad,FrP,,"Styremedlem, Karl-Ove Bjørnstad Eiendom AS. Ikke lønnet.
Styremedlem, Vitenskapsmuseet NTNU. Møtegodtgjørelse.
Medlem av bystyret, Trondheim kommune. Møtegodtgjørelse.
Medlem av kontrollkomiteen, Trondheim kommune.
Møtegodtgjørelse.","Innehaver, Peninsula Invest AS",,,,,"Er deleier i flere bygårder/utleieforhold/tomter i Trondheim og
nærliggende kommuner gjennom eierskapet i Peninsula Invest AS.","Aker ASA (under 1 pst.)
BEWi ASA (under 1 pst.)
BlueEye Robotics AS (under 1 pst.)
BW LPG limited (under 1 pst.)
BW Offshore Limited (under 1 pst.)
Dropbox Inc. (under 1 pst.)
F3 Utbygging AS (18 pst.)
Folkeinvest AS (under 1 pst.)
Forsøkslia AS (3,5 pst.)
Grieg Seafood ASA (under 1 pst.)
Karl-Ove Bjørnstad Eiendom AS (18 pst.)
Karl-Ove Bjørnstad AS (16,364 pst.)
Kid ASA (under 1 pst.)
Klæbutorget Bt2 AS (4 pst.)
Kobtas AS (13 pst.)
MM9 Utbygging AS (18 pst.)
Mowi ASA (under 1 pst.)
NB Gruppen AS (4 pst.)
NB-Utleie AS (4 pst.)
Nedre Grillstadkleiva 1-3 AS (18,056 pst.)
Norske Skog ASA (under 1 pst.)
Næringsbygg AS (3,922 pst.)
Næringsbygg Betong AS (2,02 pst.)
Peninsula Invest AS (100 pst.)
SAS AB (under 1 pst.)
Saxe Viks Vei 2 AS (18 pst.)
Scorpio AS (18 pst.)
Solstad Utvikling AS (13 pst.)
Sparebank1 SMN ASA (under 1 pst.)
Wallenius Wilhelmsen ASA (under 1 pst.)
Wavefoil AS (under 1 pst.)
Yara International ASA (under 1 pst.)",,,,,
Sandra,Borch,Sp,,Styremedlem Alfheim Arena AS - ikke lønnet (Sagt fra meg honorar),,,,,,,,,,,,
Terje,Breivik,V,,"Nestleiar i Venstre. Godtgjersle tilsvarande 10% av
stortingsrepresenstantsgodtgjerlsa.",,,,,,,Hardanger Slipeverkstad AS.,,,,,
Åshild,Bruun-Gundersen,FrP,,"Arendal Bystyre, varamedlem, møtegodtgjørelse ved oppmøte",,,"Har fått innvilget permisjon fra min stilling i Nye Veier AS i perioden
9.oktober 2017 - 9.oktober 2021. Får ikke lønn under permisjon, er
også meldt ut av pensjons- og forsikringsordningene.",,,,,,,,,
Jan,Bøhler,Sp,,"Styremedlem i Grorud Idrettslag. Ikke noe honorar.
Styreleder for Groruddalstinget. Ikke noe honorar.
Styremedlem i Natteravnene i Oslo. Ikke noe honorar.
Styremedlem i LIM (Likestilling, integrering, mangfold). Ikke noe
honorar.",,,,,,,,,,,,
Jette F.,Christensen,A,,,,,"Permittert fra stilling som administrasjonsmedarbeider (50%) i Norsk
Forfattersentrum",,,,,,,,,
Lise,Christoffersen,A,,"Styremedlem Strømsgodset Toppfotball (ulønnet)
Styremedlem i Viken idrettskrets (godtgjøring)
Styremedlem i Stiftelsen Guts (ulønnet)
Rådsmedlem i SOS-barnebyer (ulønnet)
Medlem Stortingets rettferdsverderlagsutvalg (godtgjøring)",,,"Permisjon uten lønn: Asplan Viak AS, Sandvika",,,,,,"Mottatt en flaske av Drammen kommunes jubileumscognac 2011 som
medlem av jury for å bestemme dens navn. Cognac og
navnekonkurranse et samarbeid mellom Larsen Cognac, Trond B.
Olsen, Byavisa Drammen og Radio Metro.",,,
Jon Georg,Dale,FrP,,"Medlem Volda kommunestyre (møtehonorar)
Medlem Fylkestinget i Møre og Romsdal (møtehonorar)",,Politisk rådgiver i Fremskrittspartiets stortingsgruppe,,,,,,,,,,
Margunn,Ebbesen,H,,"Narvik Havn KF. Vervet er lønnet med en årlig godtgjørelse.
Stiftelsen Vegaøyan Verdensarv. Ulønnet styremedlem.",,,,,,,,,,,,
Espen Barth,Eide,A,,"Styreleder (Board Chair), Centre for Humanitarian Dialogue, Genève
(ulønnet verv).
Styremedlem, Stockholm International Peace Research Institute
(SIPRI, Stockholm) (møtehonorar).
Senior Adviser, Centre for Strategic and International Affairs (CSIS),
Washington D.C. (ulønnet verv).
Medlem av European Leadership Network, London (ulønnet verv).
Felles for de internasjonale vervene nevnt over er at reise og opphold
normalt dekkes ifb. med styremøter o.l.","Sporadisk undervisning i Forsvarets høyskolesystem som lønnes som
foreleser (opp til et par ganger i året)
Noen få ganger i året holder jeg også honorerte foredrag. Ikke i noe
tilfelle har det overskredet 50 000 fra samme oppdragsgiver.",,,,,,,"Ingen med tilknytning som vervet som representant.
Enkelte reiser dekkes for styremøter og lignende i organisasjoner som
er oppført under verv.",,,,
Petter,Eide,SV,,,"Enkeltpersonsforetak org nummer 996643182
omsetning så langt i 2017, ca 300 000,-
Ikke aktivt etter at jeg ble stortingsrepresentant.",,,,,,,,,,,
Torill,Eidsheim,H,,"Modalen Næringsbygg - lønnet med styrehonorar,
Sunnhordland lufthamn - permisjon,
Voss og omland bompengeselskap as - permisjon,
Norvegfinans - permisjon",Skram media,,,,,,Skram Media as,,,,,
Hårek,Elvenes,H,,,"Enkeltmannsforetak: Hårek Elvenes Bedriftsrådgivning. Sovende
selskap. Ingen aktivitet og inntekter siden 2007.",,Permisjon uten lønn fra Forsvarsbygg.,,,,"Aksjer i :
Mowi, Aker ASA, Frontline
Alle: Eierandel mindre enn 1 %",,,,,
Ola,Elvestuen,V,,Første nestleder i Venstre (godtgjørelse),,,,,,,,,,,,
Marianne Synnes,Emblemsvåg,H,,"Styremedlem i Brisk Kompetansesenter AS, lønnet verv
Styremedlem Olympic Subsea ASA, lønnet verv",,,Ulønnet permisjon ved NTNU,,,,,,,,,
Jon,Engen-Helgheim,FrP,,"Leder av Drammen FrP, ulønnet.",,,"lønn utbetalt til og med oktober 2017. Skal i tillegg gjøres opp et lån
fra Accept Servicepartner AS til meg på 50 000,- Avventer svar fra
revisor på fremgangsmåte.",,,,"Eier aksjer i følgende selskap:
Aker Solutions ASA, 180 stk.
Grieg Seafood ASA, 100 stk.
Mowi. 26 stk
Norwegian Air Shuttle, 81 stk
Norwegian Air Shuttle TR, 162 stk
Norwegian Energy Company ASA, 6 stk.",,,,,
Liv Kari,Eskeland,H,,"Styreleder Paladio AS, ikkje honorar.
Styreleiar/DL L.K.Eskeland AS. L.K.Eskeland AS eig 45% i Paladio
som vidare eig andre selskap.
Styremedlem Sethaugen AS, ikkje honorar.
Varamedlem Sentech AS, ikkje honorar.","L.K. Eskeland AS, ingen aktive oppdrag",,Avslutta arbeidsforhold med tidligere arbeidsgjevar,,,,"L.K.Eskeland AS, 100% eigar
Paladio AS, 45% Eigar (Gjennom L.K.Eskeland AS, saman med
Halleraker AS 55% eigar)
Paladio AS eig i følgjande selskap:
- Sethaugen AS - 50% eigar
- Sentech Holding - 57,26% eigar
- Rimsvarde 30,25% eigar
- Skrog Eigedom 11% eigar
- Totland Utvikling 24,81% eigar
-Euler Ceramic Systems as, 16,9% eiger
Sambuar med Svein Halleraker som er vald inn i Vestland fylkesting",,,,,
Bengt,Fasteraune,Sp,,"Styreleder Rondane Dovre Nasjonalparkstyre (møtegodtgjørelse)
Styreleder Dovrefjell/Sunndalsfjella Nasjonalparkstyre
(møtegodtgjørelse)
Styremedlem Norsk villreinssenter (møtegodtgjørelse)
Kommunestyremedlem Dovre kommune (møtegodtgjørelse)
Leder Oppland Senterparti (godtgjørelse)",,,Permisjon uten lønn fra Forsvaret,"Ansatt i Forsvaret, i tiden som stortingsrepresentant har jeg permisjon
uten lønn.",,,,,,,,
Jonny,Finstad,H,,"Lofotbyraaet A/S, Styreleder. Ulønnet/ikke aktivt selskap.
Styreleder Vestvågøy Asvo A/S. Styregodtgjørelse.",Eier av Lofotbyraaet A/S. Selskapet er/har ikke vært aktivt.,Se punkt 2,,,,,"Lofotbyraaet A/S, 100% eierandel.",,,,,
Ingunn,Foss,H,,"Lønnet verv som leder av Representantskapet i KLP. Går ut av dette
vervet på Generalforsamlingen i selskapet i mai 2014.",,,,,,,,,,,,
Kjell-Børge,Freiberg,FrP,,"Styremedlem i Trollfjord Kraft AS. Det gis styrehonorar og
godtgjørelse pr. møte.
Kasserer i Hadsel FrP, ulønnet",,,,,,,"Aksjer i Andfjord Salmon AS, mindre en 1 %
Aksjer i Equinor, mindre en 1 %
Aksjer i Aker BP, mindre en 1 %",,,,,
Peter,Frølich,H,,Styremedlem i Fronted AS (ikke honorert),"Grunnlegger og medeier i techselskapet Fronted AS (om lag 35 pst. av
aksjene, samt mindre konvertibelt lån).","Kontrakt med Univ.forlaget inngått 22.4.15 om å skrive lærebok i
kontraktsrett. Royalty av salg: 13 pst.",,,,,"Aksjer i:
Anthope AS, som jeg eier 33 pst. av (B-aksjer uten stemmerett på
generalforsamling), som eier aksjer i følgende selskaper: Norsk Hydro
ASA, Yara International ASA og Statoil ASA.
Grunnlegger / medeier i teknologiselskapet Fronted AS, ca. 35 pst. av
aksjene (samt et mindre konvertibelt lån)
- Selskapet har fått støtte fra Innovasjon Norge.
REC Solar (Antall: 187 295)
IDEX (Antall: 21 040)
Norsk Hydro (Antall: 4588)
StrongPoint (Antall: 2059)
Forbehold: Innimellom kjøper og selger jeg aksjer med kort
mellomrom. Antallet aksjer kan derfor avvike dersom jeg ikke har fått
oppdatert registeret fortløpende).
Fond:
DNB Teknologi
DNB Global Emerging Markets A
DNB Norden A
DNB Norge Indeks
DNB USA Indeks A
Andre finansielle plasseringer:
Bondora (Estland-basert plattform for utstedelse av mikrolån uten eget
bankledd)",,,,,
Torgeir Knag,Fylkesnes,SV,,,"Selvstendig næringsdrivende - oppdrag på vegne av SV ifm
valgkampen 2013 fra april til september.",,"Avtale Med Teknologirådet om ulønnet permisjon ut perioden fra 1.
oktober 2013.",,,,"Har en liten aksjepost i selskapet ArcGiraff - et teknologi- og
reklameselskap med hovedkontor i Vadsø.",,,,,
Masud,Gharahkhani,A,,Styremedlem Drammen havn(styrehonorar),,,,,,,Orkla ASA (Eierandel:mindre enn 1%),,,,,
Trond,Giske,A,,"Styreleder i AØF, driftsorganisasjonen for Folkets Hus i Trondheim.
Honoreres pr styremøte.",,,,,,,,,,,,
Sigbjørn,Gjelsvik,Sp,,,,"Norske Landbrukstenester Sunnfjord - oppdrag som avløser/omstilling
av gårsdrifta ifm min fars dødsfall. Inntekt i 2018 (timebasis): 40.355
(i tillegg utbetalt feriepenger i 2019 - ingen forventede inntekter i
2019 utover dette).",,,,,"1. Klassekampen, org.nr. 925.350.605, ant aksjer: 2,
2. Industriholding Norge AS, 6097 aksjer",,,,,
Trine Skei,Grande,V,,"Medlem av Helsingforskomiteens råd (ulønnet)
Styreleder i PRIO (lønnet)
Nestleder i Bibilioteksentralen (lønnet)
Styreleder i stiftelsen Oslos Middelalder (ulønnet)",,,,,,,,"April 2004 - Besøk presidentinnsettelse i Taiwan etter at Venstres
søsterparti vant valget
Deltakelse på Tynwald Day 2014, Isle of Man i Storbritannia, 4.-
8.7.2014. Oppholdet betalt av arrangøren som var Isle og Man.(reise
betalt privat).","Mottatt bilde/kunstverk i malt tre m. lakk til julen 2014 fra Kharai og
Rajavi i det iranske eksilmiljøet. (Verdi usikker.)",,,
Heidi,Greni,Sp,,"Kommunestyremedlem i Holtålen kommune (ingen godtgjørelse)
Styremedlem i Av- og -til (møtegodtgjørelse)",,,Permisjon uten lønn fra Coop Oppdal,,,,"Aksjer i Haltdalen Sparebank, Holtålen kommune (eierandel mindre
enn 1%)",,,,,
Carl-Erik,Grimstad,V,,"Kommunestyrerepresentant Færder kommune, medlem av
helseutvalget. Møter ikke mens stortingsrepresentant. Dermed ikke
utbetalt honorar.",,,"Permisjon uten lønn fra stilling som førsteamanuensis ved Høyskolen
Kristiania.",,,,,,,,,
Ruth,Grung,A,,"FiskeriForum Vest, styreleder, ikke lønnet - 2011-01.06.2016.
Carte Blanche, dansekompani, styremedlem, lønnet - 2012.
Anleggsutvalget for Norsk Håndballforbund region Vest, medlem,
ikke lønnet - 2013.
Representantskapet Kirkens Bymisjon Bergen, ikke lønnet - 2014-
2016.
Programrådet for NRK Hordaland og Sogn og Fjordane, vara, lønnet -
2011-2015.
Folkets Hus AS, vara - 2012-2015 - ikke møtt. Styret Hordaland
Idrettskrets, nestleder, ikke lønnet - 2014-2016.
styremedlen AV og TIL 2016 - honorar",,,Permisjon fra NAV Hordaland,,,,,,,,,
Hans Fredrik,Grøvan,KrF,,Parlamentarisk leder i Kristelig Folkeparti (godtgjørelse),,,,,,,,,,,,
Kent,Gudmundsen,H,,,Passiv medeier i Ferieguiden ANS,,,,,,,,,,,
Himanshu,Gulati,FrP,,"Styreleder i My Nordic Travel AS (ikke-lønnet styreverv).
Styreleder i Alternative Development Organisation (ikke-lønnet
styreverv).
Styremedlem i Underdog Nordic (ikke-lønnet styreverv).
Styremedlem i stiftelsen India Center (ikke-lønnet styreverv).
Ingen av styrevervene er lønnet, men jeg får dekket reisekostnader på
reiser som skjer i.f.m arbeid i styrene.",,,,,,Jeg eier 4 utleieleiligheter i Oslo kommune.,"Jeg eier 100 % av aksjene i Shizzle AS.
Jeg eier 50 % av aksjene i My Nordic Travel AS.","Jeg ble i januar 2019 tildelt æresprisen ""Pravasi Bharatiya Samman
Award"" (diasporaprisen) av presidenten i India. Den indiske
regjeringen dekket flybillett og hotell ifm. mottakelse av prisen.",,,,
Jon,Gunnes,V,,"Styremedlem i Foreningen Norden, ingen godtgjøring.",,,,,,,28 aksjer i Moelven Industrier ASA.,,,,,
Tore,Hagebakken,A,,"Styremedlem i Oplandske Dampskibsselskap AS
(Skibladner) - (godtgjørelse).",,,,,,,,,,,,
Margret,Hagerup,H,,"Medlem av generalforsamlingen i Sparebankstiftelsen Time og Hå.
Lønnet.",,,,,,,,,,,,
Terje,Halleland,FrP,,"Styreleder, Domizil AS (ikke lønnet)
Styremedlem Berge Sag Gruppen AS",,Se punkt 2,,,,,"Domizil AS (100 prosent)
3500 aksjer Axactor
500 aksjer Norsk Hydro
134 aksjer Orkla",,,,,
Lars,Haltbrekken,SV,,,Har et enkeltmannsforetak som ikke er aktivt.,,Har pensjonsrettigheter fra tiden jeg var leder i Naturvernforbundet,,,,10 aksjer i Klima2020,,"Jeg fikk sommeren 2018 festivalpass til Pstereofestivalen i
Trondheim. Verdien av festivalpasset var 1949 kroner. Men skulle jeg
kjøpt det selv ville det kommet en billettavgift på 60 kr i tillegg.
Dermed kan det sies at gaven er verdt 2009 kroner. Festivalpasset ble
gitt av Pstereofestivalen.",,,
Eva Kristin,Hansen,A,,Styremedlem Midtnorsk Jazzsenter (godtgjørelse),,,,,,,,,,,,
Svein Roald,Hansen,A,,"2. varamedlem til kontrollutvalget i Fredrikstad kommune fra høsten
2019 (møtegodtgjørelse)",,,,,,,,,,,,
Svein,Harberg,H,,"Styremedlem Centre for Coastal Research - ikke lønnet
Parlamentarisk nestleder Høyres stortingsgruppe - godtgjørelse",,,,,,,,,,,,
Marianne,Haukland,H,,"Verdensarvsenteret for bergkunst - Alta museum
representantskapet.Møtegodtgjørelse
Fylkestinget i Finnmark
representant (H).Møtegodtgjørelse
Gruppeleder Kommunestyret i Alta
Herunder: Formannskapet, planutvalget,
økonomiutvalget.Møtegodtgjørelse
Årlig godtgjørelse månedlige godtgjørelser 12 pst. stilling
- Permisjon overnevnte verv fra 1. oktober 2017.",,"Forvaltningsrevisor 100 %.
Vest-Finnmark kommunerevisjon IKS - Vefik IKS
Permisjon fra 1. oktober 2017",,,,,,,,,,
Trond,Helleland,H,,Parlamentarisk leder i Høyres stortingsgruppe (godtgjørelse),,,,,,,,,Sølvskål fra Høyre i anledning 50-årsdag 2012,,,
Kari,Henriksen,A,,,,"Se merknad under andre forhold. Jurymedlem i Eilert Sund jury v
UiA. Mars-April, ca 8000 kroner i 2017",Har permisjon uten lønn fra Sørlandet Sykehus HF,,,,"DNB ASA. Eierandel: under 1%
Fred Olsen Energy ASA. Eierandel: under 1%
Storebrand ASA. Eierandel: under 1%",,"Mottok et armbåndsur merke a.b.art fra OSCE i Geneve, 2. oktober
2014.
Gave fra Stortingsgruppa i forbindelse med min 60 års dag 2015
Medaljong fra Mongolia i forb med OSCE s sommermøte 2017
Har påtatt meg å være medlem av Eilert Sund juryen, vi skal vurdere
innkomne oppgaver fra videregående skoler i Agder til Eilert Sund
prisen som deles ut av UiA hvert år. Avtalen fra mars- april, honoreres
etter satser på UIA universitet. Forrige gang jeg satt i juryen, to år
siden, var netto utbetaling rundt 8000 kroner",,,
Martin,Henriksen,A,,Styremedlem Utøya AS (ulønnet),,,,,,,Polaris Media ASA. Mindre enn 1%.,,,,,
Silje,Hjemdal,FrP,,Er styremedlem i Vestland FrP. Vervet er ikke lønnet,,,,,,,,"EPF studietur til Manila Filippinene 2-11 august 2019. Invitert og
betalt av European Parliamentary Forum for Sexual & Reproductive
Rights.
EPF tur til Kenya Nairobi summit on ICPD25 MP forum. Invitert og
betalt av European Parliamentary Forum for Sexual & Reproductive
Rights.11-16 november 2019",,,,
Bård,Hoksrud,FrP,,"Har fra og med 31. august 2018 søkt permisjon fra folkevalgte verv i
Bamle kommune og Telemark fylkeskommune. Har gjenopptatt
vervene etter at jeg gikk av som statsråd den 22.01.2019
Medlem kommunestyret i Bamble kommune 2019-
2023(møtegodtgjørelse).
Leder Kontrollutvalget i Bamble 2019-2023 (leder/møtegodtgjørelse).
Medlem Fylkestinget i Telemark 2015-2019 (møtegodtgjørelse).
Medlem av samferdselsutvalget i Telemark FK 2015-2019
(møtegodtgjørelse).
Parlamentarisk 1. nestleder Fremskrittspartiets stortingsgruppe (lønn)
frem til februar 2020
Medlem KS Fylkesmøte for Bamble kommune. (Møtegodtgjørelse)",Hoksrud Consulting,"Deltakelse 4-stjerners middag (Honorar) (2016)
Deltakelse i lomma på  Silje (Honorar)
Deltakelse 4-stjerners middag (Honorar) (2020)",Permisjon fra stilling i Fremskrittspartiets Hovedorganisasjon,,,,,"11-16 september 2010 - studiereise til Taiwan. Reise og opphold
betalt av taiwanske myndigheter
17-19 april 2011- deltok på Telecruiset 2012 på Kiel fergen.
Arrangørene dekket deltakeravgiften.
11-12 november 2011 - foredrag for VG Nett i Budapest, Ungarn, som
dekket reise og opphold og betalte honorar.","Samlegjenstander av div. pins, medaljer og klokker. Mottatt deler av
samlingen som gave. Verdi av hele samlingen ca. 5 000 kroner.
Åpnet kunstutstillingen til Thore Sveberg den 23. juni 2019, mottatt et
lite malt bilde som takk for hjelpen. Verdi ukjent.
Mottatt sett med treningstøy fra stiftelsen Aktiv mot kreft(nov-2019).",,,
Solveig,Horne,FrP,,,,"2 nestleder i FrP sin stortingsgruppe fra juni 2019- februar 2020.
Godtgjørelse/lønn",,,,,"3250 aksjer i DNO ASA. (Eierandel: mindre enn 1 prosent)
28 aksjer i MOWI (Marine Harvest) (Eierandel: mindre enn 1 prosent)
300 aksjer i Rec Silicon (Eierandel: mindre enn 1 prosent)
2000 aksjer i Norwegian air shuttle ASA (Eierandel: mindre enn 1
prosent)","11. - 16. september 2010 - studiereise til Taiwan. Reise og opphold
betalt av taiwanske myndigheter.","Et par fjellsko merke La Sportiva fra Den Norske Turistforening ifbm.
arrangementet Til Topps i juni 2015
Utstyr fra Norges Idrettsforbund. Verdi kr 3 000,- (Januar 2018)",,,
Anniken,Huitfeldt,A,,Medlem av sentralstyret i Arbeiderpartiet,,,Permisjon fra stilling som forsker ved forskningsstiftelsen FAFO,,,,,,"Jakke, gitt i gave fra Dale of Norway. Verdi 2500.
Deltakelse i 4 stjernes middag på TV Norge. Honorar 10.000 minus
skatt. Gitt til Utøyafondet.
Deltagelse i ""Jaget"" på TV2. Honorar 10.000 minus skatt. Gitt til
Utøyafondet.",,,
Geir Adelsten,Iversen,Sp,,"Leder Sørøy Havfiskeklubb ikke lønnet
Styremedlem Vefik ikke lønnet. Godtgjørelse.
Kommunestyrerepresentant i Hasvik kommune. Godtgjørelse.",,,Har permisjon fra stilling som lærer ved Hasvik skole.,,,,,,Mottatt maleri fra Mona Rydningen(Galleri C). Dato: 24.10. 2018.,,,
Nils Aage,Jegstad,H,,"Ungt Entreprenørskap Oslo og Akershus
Styremedlem
ulønnet",,,,,,,"Aksjer i
Frontline Ltd
Norske Skog ASA
Europris ASA
SalMAr ASA
Eierandel: mindre enn 1%",,,,,
Siv,Jensen,FrP,,,"Sporadiske honorar for artikler og kommentarer til ulike norske
medier.",,,,,,,"10.-17. januar 2010. Studietur til Taiwan etter invitasjon fra den
taiwanske regjering. Reise og opphold dekket av vertskapet.","3,5 l whisky fra Stortingets presselosje, desember 2011.
Mottatt i forbindelse med 50 års dag 1. 6. 2019:
-Fusionbrett fra Erna Solberg og statsråder i Høyre
-DAB-radio fra NRK
-Våtdrakt og fusionbrett fra FrPs fylkeslag
-Gavekort fra FrPs hovedorganisasjon og stortingsgruppe",,,
Morten Ørsal,Johansen,FrP,,,"Småbruker. Hest, geit, høns, kaniner, påfugler og hunder.",,,,,,,,,,,
Kristin Ørmen,Johnsen,H,,"Styremedlem i Strømsgodset toppfotball. Vervet er ulønnet, får to
sesongkort til hjemmekampene.",,,"Permisjon fra Høgskolen i Buskerud. Ingen lønnsutbetalinger fra
tidligere arbeidsgiver. Pensjon fra Statens Pensjonskasse.","Avtale om gjeninntreden i Høgskolen i Sørøst-Norge i lederstilling på
nivå en eller to, ikke spesifisert dette yteligere.",,,,,,,,
Tor André,Johnsen,FrP,,,,,,,,,"Aksjer i Global Infrastruktur AS, Danefjellveien 1 og i US
Opportunities
Aksjer i Brumunddal Næringsbygg og Hafjell Helse- og Handelsbygg",,,,,
Mudassar,Kapur,H,,,,,Permisjon fra SOS-Barnebyer Norge,,,,,,,,,
Ketil,Kjenseth,V,,"Styreleder Biri Gårdsmeieri AS (ulønnet)
Styreleder i Snertingdal Ysteri Drift AS (ulønnet)
Styreleder i Bråstadlia Handelslag AS (ulønnet)",,,"Permisjon uten lønn eller andre godtgjørelse fra stilling i Norsk Vann
fra 1. oktober 2013 og inntil videre.",,,,"Bråstadlia Handelslag AS, 100% eier.
Biri Gårdsmeieri AS. 33% eierskap (35 aksjer)
Snertingdal Ysteri Drift AS, 55% eier.
Gjøvik Sjokolade AS. 2000 aksjer.",,,,,
Kari Kjønaas,Kjos,FrP,,Medlem kommunestyret i Lørenskog (godtgjørelse),,Medlem av Stortingets Billighetserstatningsutvalg (godtgjørelse),,,,,,"Deltok på reise til Filippinene 3. - 11. nov. 2007. Reise og opphold
betalt av European Parliamentary Forum on population and
development (EPF).",,,,
Jenny,Klinge,Sp,,Leiar i forstandarskapet Surnadal Sparebank(godtgjering),Sporadisk sal av eigne måleri.,,,,,,,,,,,
Eigil,Knutsen,A,,"Varastyremedlem i Bergenhus Arbeiderparti, ikke godtgjørelse.",,,,,,,,,,,,
Turid,Kristensen,H,,,,,"Permisjon fra stilling som program- og ph.d.-konsulent ved Institutt
for musikkvitenskap, Universitetet i Oslo, i perioden 01.10.17-
30.09.21",,,,,,,,,
